data_id,year,product_id,food,production,import_quantity,export_quantity
176,1968,8,13798.93,45883.0,3878.0,174.0
177,1968,9,91.0,11.0,57.0,0.0
178,1968,10,1863.0,2384.0,487.0,714.0
179,1968,11,864.0,4432.0,0.0,63.0
180,1968,12,1042.0,1079.0,5.0,0.0
181,1968,13,11935.0,33710.9,118.0,227.0
182,1968,14,844.0,817.0,27.0,0.0
183,1968,15,850.0,660.0,267.0,140.0
184,1968,16,5483.0,12708.0,0.0,223.0
185,1968,17,5010.0,1587.0,1763.0,141.0
186,1968,18,65.0,56.0,23.0,14.0
187,1968,19,11604.0,17517.0,311.0,32.0
188,1968,20,15690.0,37789.0,1691.0,5106.0
189,1969,0,4631.0,3498.0,698.1,102.0
190,1969,1,246.0,17559.0,148.0,748.0
191,1969,2,3569.0,32.0,51.0,0.0
192,1969,3,17900.0,31352.0,2047.0,3430.0
193,1969,4,1951.0,2092.0,29.0,0.5
194,1969,5,2808.69,1794.4,180.09,297.2
195,1969,6,1692.0,1739.0,380.0,20.0
196,1969,7,7260.0,7872.0,750.0,4.0
197,1969,8,14015.53,44852.0,3785.0,180.0
198,1969,9,85.0,6.0,53.0,3.0
199,1969,10,1845.0,2295.0,435.0,656.0
200,1969,11,874.0,4844.0,0.0,116.0
201,1969,12,1903.0,1094.0,5.0,0.0
202,1969,13,11512.0,30287.0,139.0,204.0
203,1969,14,891.0,866.0,26.0,1.0
204,1969,15,939.0,686.0,335.0,150.0
205,1969,16,5376.0,9850.0,0.0,224.0
206,1969,17,5081.0,1853.0,1341.0,117.0
207,1969,18,75.0,60.0,28.0,13.0
208,1969,19,11756.0,16817.0,838.0,22.0
209,1969,20,15791.0,35122.0,2510.0,6768.0
210,1970,0,4823.4,3782.9,1034.3,111.4
211,1970,1,245.0,15916.0,167.0,503.0
212,1970,2,3393.0,52.0,58.0,0.0
213,1970,3,18100.0,31083.0,2144.0,3103.0
214,1970,4,2131.0,2287.0,33.0,0.2
215,1970,5,2924.74,1870.7,234.57,279.29
216,1970,6,1269.0,1450.0,552.0,24.0
217,1970,7,7256.0,8269.0,741.0,12.0
218,1970,8,14235.57,45371.0,3854.0,178.0
219,1970,9,96.0,7.0,62.0,1.0
220,1970,10,1906.0,2146.0,462.0,351.0
221,1970,11,875.0,4508.0,0.0,393.0
222,1970,12,1036.0,1543.0,1.0,0.0
223,1970,13,11560.0,31938.3,94.0,192.0
224,1970,14,1132.0,1071.0,61.0,0.0
225,1970,15,1031.0,794.0,331.0,180.0
226,1970,16,5891.0,11675.0,0.0,175.0
227,1970,17,5234.0,1293.0,3012.0,117.0
228,1970,18,86.0,67.0,29.0,10.0
229,1970,19,11652.0,17990.0,889.0,63.0
230,1970,20,16664.0,33750.0,2228.0,5880.0
231,1971,0,4734.2,4021.0,783.8,113.1
232,1971,1,244.0,16928.0,213.0,688.0
233,1971,2,3562.0,108.0,35.0,0.0
